date,temp
2024-01-01,31.17
2024-01-02,30.07
2024-01-03,31.81
2024-01-04,33.73
2024-01-05,30.39
2024-01-06,30.56
2024-01-07,34.36
2024-01-08,32.91
2024-01-09,30.6
2024-01-10,32.8
2024-01-11,30.96
2024-01-12,31.12
2024-01-13,32.7
2024-01-14,28.56
2024-01-15,29.1
2024-01-16,31.6
2024-01-17,30.86
2024-01-18,33.68
2024-01-19,31.4
2024-01-20,30.55
2024-01-21,36.47
2024-01-22,33.25
2024-01-23,33.99
2024-01-24,31.17
2024-01-25,33.08
2024-01-26,34.55
2024-01-27,32.18
2024-01-28,35.39
2024-01-29,33.59
2024-01-30,34.35
2024-01-31,33.88
2024-02-01,38.94
2024-02-02,35.35
2024-02-03,33.41
2024-02-04,37.31
2024-02-05,33.37
2024-02-06,36.36
2024-02-07,32.17
2024-02-08,33.56
2024-02-09,36.75
2024-02-10,37.96
2024-02-11,36.96
2024-02-12,36.51
2024-02-13,36.27
2024-02-14,34.04
2024-02-15,35.68
2024-02-16,36.32
2024-02-17,39.47
2024-02-18,38.16
2024-02-19,34.06
2024-02-20,38.34
2024-02-21,37.03
2024-02-22,36.56
2024-02-23,39.24
2024-02-24,40.18
2024-02-25,40.08
2024-02-26,36.63
2024-02-27,37.79
2024-02-28,39.16
2024-02-29,40.54
2024-03-01,37.72
2024-03-02,38.39
2024-03-03,36.63
2024-03-04,36.53
2024-03-05,40.62
2024-03-06,41.78
2024-03-07,39.0
2024-03-08,41.22
2024-03-09,40.0
2024-03-10,38.05
2024-03-11,40.12
2024-03-12,42.53
2024-03-13,39.44
2024-03-14,42.69
2024-03-15,34.37
2024-03-16,41.3
2024-03-17,39.87
2024-03-18,39.14
2024-03-19,39.96
2024-03-20,35.84
2024-03-21,39.41
2024-03-22,40.59
2024-03-23,42.86
2024-03-24,38.89
2024-03-25,38.33
2024-03-26,38.96
2024-03-27,41.8
2024-03-28,40.64
2024-03-29,38.93
2024-03-30,41.02
2024-03-31,40.19
2024-04-01,41.94
2024-04-02,38.59
2024-04-03,39.33
2024-04-04,39.19
2024-04-05,37.04
2024-04-06,40.54
2024-04-07,40.45
2024-04-08,39.92
2024-04-09,39.42
2024-04-10,37.03
2024-04-11,38.99
2024-04-12,39.11
2024-04-13,38.16
2024-04-14,39.4
2024-04-15,40.49
2024-04-16,43.41
2024-04-17,39.94
2024-04-18,40.05
2024-04-19,39.33
2024-04-20,35.59
2024-04-21,39.32
2024-04-22,39.43
2024-04-23,44.17
2024-04-24,38.79
2024-04-25,39.71
2024-04-26,38.96
2024-04-27,36.62
2024-04-28,41.17
2024-04-29,40.3
2024-04-30,40.3
2024-05-01,36.81
2024-05-02,41.35
2024-05-03,35.65
2024-05-04,39.53
2024-05-05,42.64
2024-05-06,36.18
2024-05-07,36.93
2024-05-08,38.16
2024-05-09,36.85
2024-05-10,34.65
2024-05-11,37.78
2024-05-12,35.4
2024-05-13,38.36
2024-05-14,35.46
2024-05-15,40.28
2024-05-16,35.49
2024-05-17,36.29
2024-05-18,38.43
2024-05-19,34.22
2024-05-20,37.01
2024-05-21,39.03
2024-05-22,33.07
2024-05-23,36.52
2024-05-24,36.54
2024-05-25,37.44
2024-05-26,33.26
2024-05-27,32.95
2024-05-28,36.5
2024-05-29,35.9
2024-05-30,35.66
2024-05-31,35.71
2024-06-01,33.5
2024-06-02,35.18
2024-06-03,35.15
2024-06-04,32.98
2024-06-05,37.98
2024-06-06,35.04
2024-06-07,31.55
2024-06-08,35.09
2024-06-09,31.67
2024-06-10,35.03
2024-06-11,35.61
2024-06-12,31.49
2024-06-13,34.89
2024-06-14,33.63
2024-06-15,34.28
2024-06-16,36.26
2024-06-17,31.81
2024-06-18,30.63
2024-06-19,30.19
2024-06-20,30.17
2024-06-21,31.47
2024-06-22,32.14
2024-06-23,31.84
2024-06-24,32.77
2024-06-25,30.97
2024-06-26,33.68
2024-06-27,30.07
2024-06-28,35.87
2024-06-29,31.51
2024-06-30,28.37
2024-07-01,27.77
2024-07-02,30.71
2024-07-03,29.12
2024-07-04,30.83
2024-07-05,30.17
2024-07-06,28.91
2024-07-07,27.19
2024-07-08,25.68
2024-07-09,27.65
2024-07-10,30.08
2024-07-11,28.63
2024-07-12,25.54
2024-07-13,28.21
2024-07-14,28.47
2024-07-15,25.76
2024-07-16,27.67
2024-07-17,27.31
2024-07-18,24.75
2024-07-19,27.58
2024-07-20,27.83
2024-07-21,28.71
2024-07-22,28.49
2024-07-23,23.47
2024-07-24,24.19
2024-07-25,26.94
2024-07-26,26.78
2024-07-27,26.62
2024-07-28,33.15
2024-07-29,26.43
2024-07-30,27.41
2024-07-31,26.9
2024-08-01,26.14
2024-08-02,24.06
2024-08-03,26.07
2024-08-04,22.86
2024-08-05,23.79
2024-08-06,23.15
2024-08-07,24.15
2024-08-08,28.48
2024-08-09,19.98
2024-08-10,24.95
2024-08-11,20.22
2024-08-12,22.38
2024-08-13,25.37
2024-08-14,23.2
2024-08-15,20.79
2024-08-16,21.39
2024-08-17,24.06
2024-08-18,21.13
2024-08-19,22.91
2024-08-20,22.45
2024-08-21,20.95
2024-08-22,26.43
2024-08-23,23.31
2024-08-24,17.88
2024-08-25,22.21
2024-08-26,20.41
2024-08-27,23.35
2024-08-28,19.96
2024-08-29,21.23
2024-08-30,22.38
2024-08-31,23.01
2024-09-01,18.8
2024-09-02,20.45
2024-09-03,20.09
2024-09-04,19.66
2024-09-05,24.42
2024-09-06,21.63
2024-09-07,18.24
2024-09-08,22.53
2024-09-09,24.88
2024-09-10,22.64
2024-09-11,17.48
2024-09-12,19.49
2024-09-13,22.95
2024-09-14,18.95
2024-09-15,21.21
2024-09-16,21.83
2024-09-17,18.39
2024-09-18,20.08
2024-09-19,13.69
2024-09-20,18.09
2024-09-21,19.61
2024-09-22,17.59
2024-09-23,23.33
2024-09-24,17.19
2024-09-25,19.15
2024-09-26,20.28
2024-09-27,22.89
2024-09-28,17.13
2024-09-29,22.33
2024-09-30,20.02
2024-10-01,18.04
2024-10-02,20.93
2024-10-03,20.41
2024-10-04,18.83
2024-10-05,20.18
2024-10-06,19.29
2024-10-07,20.3
2024-10-08,21.42
2024-10-09,23.3
2024-10-10,17.68
2024-10-11,24.45
2024-10-12,16.32
2024-10-13,19.96
2024-10-14,21.48
2024-10-15,20.9
2024-10-16,19.14
2024-10-17,20.02
2024-10-18,19.5
2024-10-19,19.37
2024-10-20,22.3
2024-10-21,21.38
2024-10-22,19.34
2024-10-23,22.59
2024-10-24,21.47
2024-10-25,22.56
2024-10-26,22.26
2024-10-27,19.42
2024-10-28,20.04
2024-10-29,22.74
2024-10-30,22.55
2024-10-31,21.37
2024-11-01,21.74
2024-11-02,24.15
2024-11-03,20.51
2024-11-04,22.88
2024-11-05,21.48
2024-11-06,21.55
2024-11-07,24.29
2024-11-08,23.85
2024-11-09,23.93
2024-11-10,25.03
2024-11-11,22.57
2024-11-12,24.01
2024-11-13,22.14
2024-11-14,23.53
2024-11-15,22.75
2024-11-16,23.32
2024-11-17,24.45
2024-11-18,21.75
2024-11-19,27.7
2024-11-20,21.63
2024-11-21,21.35
2024-11-22,26.23
2024-11-23,25.64
2024-11-24,25.44
2024-11-25,25.59
2024-11-26,24.45
2024-11-27,22.83
2024-11-28,24.92
2024-11-29,23.56
2024-11-30,27.01
2024-12-01,24.92
2024-12-02,23.71
2024-12-03,24.87
2024-12-04,26.5
2024-12-05,24.7
2024-12-06,24.34
2024-12-07,26.63
2024-12-08,26.79
2024-12-09,25.45
2024-12-10,25.68
2024-12-11,27.25
2024-12-12,24.05
2024-12-13,24.3
2024-12-14,25.84
2024-12-15,27.02
2024-12-16,28.24
2024-12-17,30.73
2024-12-18,29.66
2024-12-19,27.8
2024-12-20,28.25
2024-12-21,26.45
2024-12-22,28.59
2024-12-23,28.22
2024-12-24,29.61
2024-12-25,27.49
2024-12-26,30.35
2024-12-27,32.55
2024-12-28,29.44
2024-12-29,30.63
2024-12-30,31.38
2024-12-31,29.37
